feature,importance
vix_close,0.07487855506227994
macd,0.02581601624929226
ret_63d,0.02144695052519696
drawdown,0.021227090626539557
symbol_code,0.008282859763789795
ema12_26_gap,0.005968489468142724
vol_60d,0.0025416710433744825
atr_14,0.0015348961789331205
ret_5d,0.000587273485917561
bollinger_z,0.000492306909406337
rsi_14,0.0002510881074289539
volume_z_20,0.00018447195400568274
ret_1d,0.00017525926816222003
ret_21d,0.0001248799700755976
turnover_z_20,1.5063102850576549e-05
sma20_gap,-0.0004981319237308046
beta_252,-0.002813784694415666
industry_code,-0.00283833767044388
vol_20d,-0.003842547530274487
sma50_gap,-0.005519999567668732
